StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,eval-name,eval-site,eval-platform,button-discover,button-distinct,button-comments,shortcut-discover,shortcut-intuitive,shortcut-comments,text-discover,text-comprehend,text-comments,safety-discover,safety-comments
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Please enter your name,Please enter the site you have just visited,Was this the desktop or mobile version of the site?,The quick exit button is easy to find,The quick exit button consistently stands out on the page,Please enter any additional comments about the quick exit button,The keyboard shortcut is easy to discover,The keyboard shortcut is intuitive,Please enter any additional comments about the quick exit shortcut,The quick exit explainer text stands out on the page,The quick exit explainer text is easy to understand,Please enter any additional comments about the quick exit explainer text,The safe browsing page is easy to locate,Please enter any additional comments about the safe browsing information
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID16_TEXT""}"
2022-05-04 06:12:07,2022-05-04 06:15:16,IP Address,100,188,True,2022-05-04 06:15:16,R_2bNOrYATjLr7IoF,anonymous,EN,Yanna,https://rightsofwomen.org.uk/,Desktop,Strongly agree,Somewhat disagree,,,,,,Strongly agree,,Strongly disagree,
2022-05-04 06:16:11,2022-05-04 06:17:42,IP Address,100,90,True,2022-05-04 06:17:42,R_80vHN4FKogn8UPn,anonymous,EN,Yanna,https://www.freeva.org.uk/,Desktop,Strongly agree,Strongly agree,Contrast of colours helps locate the button,,,Same as above,Strongly agree,Strongly agree,,Strongly agree,
2022-05-04 06:18:12,2022-05-04 06:18:38,IP Address,100,25,True,2022-05-04 06:18:38,R_3PhFmMNHdIOV1yh,anonymous,EN,Yanna,https://firststepleicester.org.uk/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 06:18:55,2022-05-04 06:19:44,IP Address,100,48,True,2022-05-04 06:19:44,R_1g1jhxGLzSg1rY9,anonymous,EN,Yanna,https://dsahelpline.org/,Desktop,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly agree,,,
2022-05-04 06:20:00,2022-05-04 06:22:05,IP Address,100,125,True,2022-05-04 06:22:05,R_3HICz3KAzHQcADP,anonymous,EN,Yanna,https://www.rainbow-project.org/,Desktop,Somewhat agree,Somewhat agree,Similar colour to the rest of webpage,,,,Somewhat agree,Strongly agree,,,
2022-05-04 06:22:26,2022-05-04 06:24:08,IP Address,100,101,True,2022-05-04 06:24:08,R_1QtN1ZfJLCnKvVe,anonymous,EN,Yanna,https://www.sdafmh.org.uk/en/,Desktop,Somewhat agree,Strongly agree,Blends in with the rest of the text until you scroll,,,,Somewhat agree,Strongly agree,,,
2022-05-04 06:24:26,2022-05-04 06:25:37,IP Address,100,71,True,2022-05-04 06:25:38,R_1dBrcP4QTRXSG6w,anonymous,EN,Yanna,https://bswaid.org/,Desktop,Somewhat agree,Strongly disagree,,,,,Somewhat disagree,Strongly agree,,,
2022-05-04 06:26:32,2022-05-04 06:27:25,IP Address,100,52,True,2022-05-04 06:27:25,R_eqW3o5nwtgxKpOx,anonymous,EN,Yanna,https://www.healthforteens.co.uk/,Desktop,Somewhat disagree,Somewhat disagree,,,,,Somewhat disagree,Strongly agree,,,
