URL,Category,Region,Desktop Exit Button?,Mobile Exit button?,Keyboard shortcut type,Shortcut keys,Mobile shortcut?,explainer text?,Safe browsing url,Comments
https://www.womensaid.org.uk/,Domestic Abuse,UK,Redirect,,,,,,,HOW DO DIFFERENT BRANCHES OF WOMENS AID HAVE SO MANY VARIATIONS
http://www.berkshirewomensaid.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://fifewomensaid.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://www.jwa.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://junowomensaid.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://www.womensaid.ie/,Domestic Abuse,Ireland,Redirect+new tab,Redirect+new tab,,,,,https://www.womensaid.ie/help/digitalabuse/browsing.html,
https://www.welshwomensaid.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,Also has a hide button which changes some parts of the website to be less suspicious; not the entire thing
https://www.domesticabusehelpline.co.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,https://www.domesticabusehelpline.co.uk/stay-safe/,
https://www.hertsdomesticabusehelpline.org/,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://bswaid.org/,Domestic Abuse,UK,window.location writer,window.location writer,,,,,,
https://www.refuge.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://www.nationaldahelpline.org.uk/,Domestic Abuse,UK,Unique,Unique,,,,,,Opens google in new tab then enters redirect loop in previous one.
https://www.mankind.org.uk/,Domestic Abuse,UK,Redirect,,,,,,,
https://galop.org.uk/,Domestic Abuse,UK,Redirect,Redirect,Redirect,esc,,,,ESC key functions differently to button
https://www.ncdv.org.uk/,Domestic Abuse,UK,,,,,,,,
https://rightsofwomen.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,Small and hard to spot
https://www.solacewomensaid.org/,Domestic Abuse,UK,Redirect,Redirect,,,,,https://www.solacewomensaid.org/get-help/staying-safe,
https://thedashcharity.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,Button is very thin on mobile
https://www.saferplaces.co.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,https://www.saferplaces.co.uk/browse-safely,
http://www.ashianasheffield.org/,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://www.roshnibirmingham.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://incite-national.org/,Domestic Abuse,USA,,,,,,,,
https://esperanzaunited.org/en/,Domestic Abuse,USA,Redirect,Redirect,,,,On-load Pop-up,,States they have a keyboard shortcut (ESCx2) but it doesn't work
https://www.nwnetwork.org/,Domestic Abuse,USA,,,,,,,,
https://www.safehorizon.org/,Domestic Abuse,USA,window.location writer,window.location writer,,,,,,Button is in a tab on side of screen which has to animate open before clicking - usabiity issue
https://theinitiativecolorado.org/,Domestic Abuse,USA,Redirect,Redirect,,,,On-load Pop-up,https://nnedv.org/content/internet-computer-safety/,
https://www.udvc.org/,Domestic Abuse,USA,Redirect,,,,,,,Sticky version text not visible on mobile
https://womensrefuge.org.nz/,Domestic Abuse,New Zealand,Redirect,Redirect,,,,,https://womensrefuge.org.nz/hide-my-visit/,Requires 2 clicks on mobile
https://sosviolenceconjugale.ca/en,Domestic Abuse,Canada,Redirect,,,,,Clickable Pop-up,,
https://www.ywcanwt.ca/,Domestic Abuse,Canada,,,,,,,,
https://www.1800respect.org.au/,Domestic Abuse,Australia,Redirect,Redirect,,,,On-load Pop-up,https://www.1800respect.org.au/help-and-support/technology-and-safety/general_online_safety,Hard to spot either the safety page or the button on desktop. Safety text is a pop-up on mobile only; separate page otherwise
https://dvrcv.org.au/,Domestic Abuse,Australia,Redirect,,,,,,,
https://www.dvconnect.org/,Domestic Abuse,Australia,Redirect,Redirect,,,,,,Button not visible on first load (requires scroll)
https://dvcs.org.au/,Domestic Abuse,Australia,Redirect,Redirect,,,,,,
https://www.techsafety.org/,Domestic Abuse,USA,Redirect,Redirect,,,,On-page text,https://www.techsafety.org/exit-from-this-website-quickly,2 clicks on mobile
https://techsafety.org.au/,Domestic Abuse,Australia,Redirect,Redirect,,,,On-page text,https://techsafety.org.au/exit-quickly/,Hyperlinks within a small explainer text; incredibly hard to notice
https://abusedmeninscotland.org/,Domestic Abuse,UK,Write+new tab,Write+new tab,,,,,,2 clicks on mobile
https://www.opoka.org.uk/,Domestic Abuse,UK,window.location writer,Redirect,,,,,,2 clicks on mobile
https://www.saferwales.com/about-us,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://www.sdafmh.org.uk/en/,Domestic Abuse,UK,Write+new tab,Write+new tab,,,,,,
https://www.theelmfoundation.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,Has 2 different buttons - one to go to google and one to facebook
https://www.havenrefuge.org.uk/,Domestic Abuse,UK,Write+new tab,Redirect,,,,On-load Pop-up,https://www.havenrefuge.org.uk/staying-safe-online/,"also does redirect spam if pop-ups not blocked, but they are by default. states this in warning message"
https://www.thewishcentre.org/,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://yourbestfriend.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,"goes to bbc; on mobile, this opens bbc app, and the browser keeps the page open"
https://enough.campaign.gov.uk/,Domestic Abuse,UK,window.location writer,window.location writer,,,,,,
https://endtab.org/,Domestic Abuse,USA,,,,,,,,
https://www.joinonelove.org/,Domestic Abuse,USA,,,,,,,,
https://www.lookahead.org.uk/,Domestic Abuse,UK,,,,,,,,
https://www.hestia.org/,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://womanstrust.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,On-load Pop-up,,"shows in popup, says it stays in top right but doesn't"
https://www.bright-sky.org.uk/,Domestic Abuse,UK,Redirect,Redirect,,,,,,
https://www.safeireland.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,,Has irish service lookup table
http://www.carlowwomensaid.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,http://www.carlowwomensaid.ie/internethistory.html,
https://tearmann.net/,Domestic Abuse,Ireland,New tab,,,,,,,
https://clarehaven.ie/,Domestic Abuse,Ireland,,,,,,,https://clarehaven.ie/how-to-clear-your-browsing-history/,
https://www.westcorkwomensproject.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,https://www.westcorkwomensproject.ie/be-safe/online-safety,
https://www.osscork.com/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,,
https://cuanleerefuge.org/,Domestic Abuse,Ireland,Redirect,,,,,,,
http://www.goodshepherdcork.ie/,Domestic Abuse,Ireland,,,,,,,,
https://donegalwomenscentre.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,,
https://www.ldvs.org/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,,Redirect site no longer exists
https://www.donegaldomesticviolenceservices.ie/,Domestic Abuse,Ireland,Redirect,,,,,,,
https://sdvs.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,,
https://aoibhneas.ie/,Domestic Abuse,Ireland,Write+new tab,Write+new tab,,,,,,
https://www.domesticviolenceresponse.com/,Domestic Abuse,Ireland,,,,,,,,
https://www.copegalway.ie/,Domestic Abuse,Ireland,,,,,,,,
https://kerryrefuge.com/,Domestic Abuse,Ireland,Redirect,,,,,,http://kerryrefuge.com/safe-browsing/,
http://www.teachtearmainn.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,http://www.teachtearmainn.ie/cover-your-tracks/,
https://domesticviolence.ie/,Domestic Abuse,Ireland,Redirect,,,,,,,only appears on scroll
https://roscommonsafelink.ie/,Domestic Abuse,Ireland,Write+new tab,Write+new tab,,,,,,
https://www.mwss.ie/,Domestic Abuse,Ireland,,,,,,,,
https://www.droghedarefuge.org/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,https://www.droghedarefuge.org/howtohideyourvisit.php,
https://www.lwl.ie/,Domestic Abuse,Ireland,Redirect,Redirect,,,,,,
https://www.safetotalk.nz/,Domestic Abuse,New Zealand,Redirect,Redirect,,,,,https://www.safetotalk.nz/your-digital-safety,Has customisable quick exit link
https://www.2shine.org.nz/,Domestic Abuse,New Zealand,Redirect,,,,,,https://www.2shine.org.nz/hide-my-visit/,
https://www.hewakatapu.org.nz/,Domestic Abuse,New Zealand,,,,,,,,
